,jd,ssn
1773-07-01,2368816.0,57.4
1773-08-01,2368848.0,59.4
1773-09-01,2368878.0,62.2
1773-10-01,2368908.0,63.3
1773-11-01,2368940.0,64.8
1773-12-01,2368970.0,65.5
1774-01-01,2369000.0,64.8
1774-02-01,2369032.0,63.7
1774-03-01,2369060.0,61.8
1774-04-01,2369090.0,59.4
1774-05-01,2369120.0,56.9
1774-06-01,2369152.0,53.2
1774-07-01,2369182.0,48.1
1774-08-01,2369212.0,40.6
1774-09-01,2369244.0,33.0
1774-10-01,2369274.0,27.7
1774-11-01,2369304.0,22.1
1774-12-01,2369334.0,17.7
1775-01-01,2369366.0,15.4
1775-02-01,2369396.0,14.4
1775-03-01,2369424.0,14.1
1775-04-01,2369456.0,13.2
1775-05-01,2369486.0,12.5
1775-06-01,2369516.0,12.0
1775-07-01,2369546.0,12.9
1775-08-01,2369578.0,14.9
1775-09-01,2369608.0,15.3
1775-10-01,2369638.0,15.7
1775-11-01,2369670.0,16.9
1775-12-01,2369700.0,17.9
1776-01-01,2369730.0,18.4
1776-02-01,2369762.0,19.5
1776-03-01,2369790.0,21.5
1776-04-01,2369822.0,24.1
1776-05-01,2369852.0,27.2
1776-06-01,2369882.0,30.8
1776-07-01,2369912.0,34.7
1776-08-01,2369944.0,38.0
1776-09-01,2369974.0,42.0
1776-10-01,2370004.0,49.4
1776-11-01,2370036.0,59.3
1776-12-01,2370066.0,68.4
1777-01-01,2370096.0,79.2
1777-02-01,2370128.0,91.8
1777-03-01,2370156.0,104.9
1777-04-01,2370186.0,117.1
1777-05-01,2370216.0,130.2
1777-06-01,2370248.0,146.0
1777-07-01,2370278.0,163.4
1777-08-01,2370308.0,177.6
1777-09-01,2370340.0,189.3
1777-10-01,2370370.0,199.3
1777-11-01,2370400.0,213.7
1777-12-01,2370430.0,231.1
1778-01-01,2370462.0,241.4
1778-02-01,2370492.0,247.4
1778-03-01,2370520.0,253.2
1778-04-01,2370552.0,260.5
1778-05-01,2370582.0,264.3
1778-06-01,2370612.0,260.9
1778-07-01,2370642.0,252.9
1778-08-01,2370674.0,252.5
1778-09-01,2370704.0,255.3
1778-10-01,2370734.0,254.2
1778-11-01,2370766.0,247.3
1778-12-01,2370796.0,236.4
1779-01-01,2370826.0,231.7
1779-02-01,2370858.0,229.1
1779-03-01,2370886.0,222.9
1779-04-01,2370916.0,216.5
1779-05-01,2370946.0,211.7
1779-06-01,2370978.0,209.5
1779-07-01,2371008.0,206.8
1779-08-01,2371038.0,199.0
1779-09-01,2371070.0,192.9
1779-10-01,2371100.0,188.0
1779-11-01,2371130.0,182.3
1779-12-01,2371160.0,178.2
1780-01-01,2371192.0,172.5
1780-02-01,2371222.0,166.7
1780-03-01,2371252.0,163.7
1780-04-01,2371282.0,159.2
1780-05-01,2371312.0,152.2
1780-06-01,2371344.0,144.9
1780-07-01,2371374.0,143.3
1780-08-01,2371404.0,143.7
1780-09-01,2371436.0,139.0
1780-10-01,2371466.0,134.0
1780-11-01,2371496.0,131.9
1780-12-01,2371526.0,132.4
1781-01-01,2371558.0,132.2
1781-02-01,2371588.0,130.0
1781-03-01,2371616.0,125.6
1781-04-01,2371648.0,119.2
1781-05-01,2371678.0,116.3
1781-06-01,2371708.0,115.1
1781-07-01,2371738.0,110.4
1781-08-01,2371770.0,104.7
1781-09-01,2371800.0,101.0
1781-10-01,2371830.0,98.0
1781-11-01,2371862.0,92.6
1781-12-01,2371892.0,85.0
1782-01-01,2371922.0,78.3
1782-02-01,2371954.0,74.2
1782-03-01,2371982.0,71.5
1782-04-01,2372012.0,70.0
1782-05-01,2372042.0,67.3
1782-06-01,2372074.0,64.5
1782-07-01,2372104.0,62.3
1782-08-01,2372134.0,60.6
1782-09-01,2372166.0,59.9
1782-10-01,2372196.0,58.3
1782-11-01,2372226.0,55.3
1782-12-01,2372256.0,52.2
1783-01-01,2372288.0,51.0
1783-02-01,2372318.0,49.0
1783-03-01,2372346.0,46.2
1783-04-01,2372378.0,44.1
1783-05-01,2372408.0,41.9
1783-06-01,2372438.0,39.4
1783-07-01,2372468.0,37.0
1783-08-01,2372500.0,33.8
1783-09-01,2372530.0,30.6
1783-10-01,2372560.0,28.2
1783-11-01,2372592.0,25.7
1783-12-01,2372622.0,23.4
1784-01-01,2372652.0,20.5
1784-02-01,2372684.0,18.0
1784-03-01,2372712.0,16.7
1784-04-01,2372744.0,16.2
1784-05-01,2372774.0,16.3
1784-06-01,2372804.0,16.7
1784-07-01,2372834.0,16.5
1784-08-01,2372866.0,16.0
1784-09-01,2372896.0,15.9
1784-10-01,2372926.0,16.2
1784-11-01,2372958.0,17.6
1784-12-01,2372988.0,19.8
1785-01-01,2373018.0,23.1
1785-02-01,2373050.0,25.9
1785-03-01,2373078.0,28.1
1785-04-01,2373108.0,32.4
1785-05-01,2373138.0,36.7
1785-06-01,2373170.0,39.2
1785-07-01,2373200.0,42.3
1785-08-01,2373230.0,47.2
1785-09-01,2373262.0,52.6
1785-10-01,2373292.0,60.1
1785-11-01,2373322.0,69.9
1785-12-01,2373352.0,77.2
1786-01-01,2373384.0,82.7
1786-02-01,2373414.0,90.8
1786-03-01,2373442.0,101.1
1786-04-01,2373474.0,111.2
1786-05-01,2373504.0,121.0
1786-06-01,2373534.0,132.2
1786-07-01,2373564.0,144.9
1786-08-01,2373596.0,155.7
1786-09-01,2373626.0,162.5
1786-10-01,2373656.0,168.2
1786-11-01,2373688.0,174.0
1786-12-01,2373718.0,179.8
1787-01-01,2373748.0,185.7
1787-02-01,2373780.0,192.1
1787-03-01,2373808.0,198.6
1787-04-01,2373838.0,204.9
1787-05-01,2373868.0,209.8
1787-06-01,2373900.0,215.8
1787-07-01,2373930.0,220.3
1787-08-01,2373960.0,222.1
1787-09-01,2373992.0,227.6
1787-10-01,2374022.0,230.2
1787-11-01,2374052.0,227.4
1787-12-01,2374082.0,229.7
1788-01-01,2374114.0,234.4
1788-02-01,2374144.0,235.3
1788-03-01,2374174.0,234.1
1788-04-01,2374204.0,231.9
1788-05-01,2374234.0,227.6
1788-06-01,2374266.0,221.3
1788-07-01,2374296.0,216.5
1788-08-01,2374326.0,214.6
1788-09-01,2374358.0,212.7
1788-10-01,2374388.0,212.1
1788-11-01,2374418.0,213.8
1788-12-01,2374448.0,212.2
1789-01-01,2374480.0,208.1
1789-02-01,2374510.0,204.1
1789-03-01,2374538.0,199.8
1789-04-01,2374570.0,194.2
1789-05-01,2374600.0,193.3
1789-06-01,2374630.0,196.4
1789-07-01,2374660.0,196.1
1789-08-01,2374692.0,195.5
1789-09-01,2374722.0,194.0
1789-10-01,2374752.0,190.3
1789-11-01,2374784.0,186.1
1789-12-01,2374814.0,182.0
1790-01-01,2374844.0,176.7
1790-02-01,2374876.0,172.3
1790-03-01,2374904.0,168.7
1790-04-01,2374934.0,166.0
1790-05-01,2374964.0,162.0
1790-06-01,2374996.0,154.1
1790-07-01,2375026.0,147.7
1790-08-01,2375056.0,141.1
1790-09-01,2375088.0,135.0
1790-10-01,2375118.0,132.2
1790-11-01,2375148.0,129.7
1790-12-01,2375178.0,126.5
1791-01-01,2375210.0,124.8
1791-02-01,2375240.0,121.9
1791-03-01,2375268.0,118.1
1791-04-01,2375300.0,115.7
1791-05-01,2375330.0,113.1
1791-06-01,2375360.0,111.5
1791-07-01,2375390.0,109.9
1791-08-01,2375422.0,109.1
1791-09-01,2375452.0,108.4
1791-10-01,2375482.0,107.6
1791-11-01,2375514.0,106.7
1791-12-01,2375544.0,105.6
1792-01-01,2375574.0,103.7
1792-02-01,2375606.0,103.1
1792-03-01,2375634.0,103.7
1792-04-01,2375666.0,103.0
1792-05-01,2375696.0,102.2
1792-06-01,2375726.0,100.8
1792-07-01,2375756.0,99.9
1792-08-01,2375788.0,99.2
1792-09-01,2375818.0,98.0
1792-10-01,2375848.0,95.9
1792-11-01,2375880.0,93.7
1792-12-01,2375910.0,92.3
1793-01-01,2375940.0,91.9
1793-02-01,2375972.0,90.1
1793-03-01,2376000.0,85.5
1793-04-01,2376030.0,82.2
1793-05-01,2376060.0,80.5
1793-06-01,2376092.0,78.9
1793-07-01,2376122.0,77.4
1793-08-01,2376152.0,75.9
1793-09-01,2376184.0,73.9
1793-10-01,2376214.0,71.0
1793-11-01,2376244.0,69.5
1793-12-01,2376274.0,69.1
1794-01-01,2376306.0,67.8
1794-02-01,2376336.0,67.9
1794-03-01,2376364.0,67.7
1794-04-01,2376396.0,65.6
1794-05-01,2376426.0,65.9
1794-06-01,2376456.0,67.9
1794-07-01,2376486.0,66.7
1794-08-01,2376518.0,64.8
1794-09-01,2376548.0,62.7
1794-10-01,2376578.0,60.3
1794-11-01,2376610.0,57.9
1794-12-01,2376640.0,54.5
1795-01-01,2376670.0,50.8
1795-02-01,2376702.0,47.9
1795-03-01,2376730.0,47.1
1795-04-01,2376760.0,46.6
1795-05-01,2376790.0,43.0
1795-06-01,2376822.0,37.8
1795-07-01,2376852.0,35.5
1795-08-01,2376882.0,34.4
1795-09-01,2376914.0,33.5
1795-10-01,2376944.0,34.6
1795-11-01,2376974.0,34.9
1795-12-01,2377004.0,33.4
1796-01-01,2377036.0,33.7
1796-02-01,2377066.0,33.0
1796-03-01,2377096.0,31.6
1796-04-01,2377126.0,31.4
1796-05-01,2377156.0,29.6
1796-06-01,2377188.0,27.6
1796-07-01,2377218.0,26.2
1796-08-01,2377248.0,24.3
1796-09-01,2377280.0,22.1
1796-10-01,2377310.0,19.4
1796-11-01,2377340.0,16.5
1796-12-01,2377370.0,15.9
1797-01-01,2377402.0,14.6
1797-02-01,2377432.0,13.3
1797-03-01,2377460.0,12.8
1797-04-01,2377492.0,11.6
1797-05-01,2377522.0,11.1
1797-06-01,2377552.0,10.8
1797-07-01,2377582.0,9.8
1797-08-01,2377614.0,8.9
1797-09-01,2377644.0,9.5
1797-10-01,2377674.0,9.9
1797-11-01,2377706.0,9.2
1797-12-01,2377736.0,7.9
1798-01-01,2377766.0,6.8
1798-02-01,2377798.0,6.3
1798-03-01,2377826.0,5.9
1798-04-01,2377856.0,5.3
1798-05-01,2377886.0,5.4
1798-06-01,2377918.0,6.3
1798-07-01,2377948.0,6.7
1798-08-01,2377978.0,7.3
1798-09-01,2378010.0,8.6
1798-10-01,2378040.0,9.7
1798-11-01,2378070.0,10.8
1798-12-01,2378100.0,12.1
1799-01-01,2378132.0,13.0
1799-02-01,2378162.0,12.9
1799-03-01,2378190.0,12.5
1799-04-01,2378222.0,12.6
1799-05-01,2378252.0,12.1
1799-06-01,2378282.0,11.4
1799-07-01,2378312.0,11.6
1799-08-01,2378344.0,11.8
1799-09-01,2378374.0,11.0
1799-10-01,2378404.0,9.9
1799-11-01,2378436.0,9.1
1799-12-01,2378466.0,9.8
1800-01-01,2378496.0,12.0
1800-02-01,2378528.0,14.6
1800-03-01,2378556.0,16.8
1800-04-01,2378586.0,18.1
1800-05-01,2378616.0,19.2
1800-06-01,2378648.0,21.9
1800-07-01,2378678.0,25.5
1800-08-01,2378708.0,28.3
1800-09-01,2378740.0,30.8
1800-10-01,2378770.0,34.0
1800-11-01,2378800.0,38.1
1800-12-01,2378830.0,40.5
1801-01-01,2378862.0,42.0
1801-02-01,2378892.0,44.3
1801-03-01,2378920.0,47.1
1801-04-01,2378952.0,50.1
1801-05-01,2378982.0,53.5
1801-06-01,2379012.0,56.1
1801-07-01,2379042.0,58.1
1801-08-01,2379074.0,60.8
1801-09-01,2379104.0,62.8
1801-10-01,2379134.0,64.3
1801-11-01,2379166.0,65.9
1801-12-01,2379196.0,67.8
1802-01-01,2379226.0,69.7
1802-02-01,2379258.0,71.4
1802-03-01,2379286.0,73.4
1802-04-01,2379316.0,75.1
1802-05-01,2379346.0,75.2
1802-06-01,2379378.0,74.9
1802-07-01,2379408.0,75.2
1802-08-01,2379438.0,75.6
1802-09-01,2379470.0,75.1
1802-10-01,2379500.0,73.1
1802-11-01,2379530.0,72.0
1802-12-01,2379560.0,71.3
1803-01-01,2379592.0,70.6
1803-02-01,2379622.0,69.5
1803-03-01,2379650.0,68.0
1803-04-01,2379682.0,68.6
1803-05-01,2379712.0,70.9
1803-06-01,2379742.0,71.9
1803-07-01,2379772.0,71.4
1803-08-01,2379804.0,70.9
1803-09-01,2379834.0,72.0
1803-10-01,2379864.0,75.1
1803-11-01,2379896.0,76.1
1803-12-01,2379926.0,75.3
1804-01-01,2379956.0,73.9
1804-02-01,2379988.0,73.3
1804-03-01,2380016.0,74.4
1804-04-01,2380048.0,75.5
1804-05-01,2380078.0,76.7
1804-06-01,2380108.0,78.3
1804-07-01,2380138.0,80.2
1804-08-01,2380170.0,81.0
1804-09-01,2380200.0,80.9
1804-10-01,2380230.0,80.3
1804-11-01,2380262.0,79.8
1804-12-01,2380292.0,80.5
1805-01-01,2380322.0,81.5
1805-02-01,2380354.0,82.0
1805-03-01,2380382.0,81.4
1805-04-01,2380412.0,78.5
1805-05-01,2380442.0,74.8
1805-06-01,2380474.0,71.9
1805-07-01,2380504.0,68.9
1805-08-01,2380534.0,66.3
1805-09-01,2380566.0,64.0
1805-10-01,2380596.0,62.1
1805-11-01,2380626.0,60.5
1805-12-01,2380656.0,58.6
1806-01-01,2380688.0,57.0
1806-02-01,2380718.0,55.4
1806-03-01,2380746.0,52.8
1806-04-01,2380778.0,51.2
1806-05-01,2380808.0,49.9
1806-06-01,2380838.0,47.8
1806-07-01,2380868.0,45.0
1806-08-01,2380900.0,41.9
1806-09-01,2380930.0,39.1
1806-10-01,2380960.0,37.2
1806-11-01,2380992.0,35.8
1806-12-01,2381022.0,33.7
1807-01-01,2381052.0,31.6
1807-02-01,2381084.0,29.4
1807-03-01,2381112.0,27.1
1807-04-01,2381142.0,24.5
1807-05-01,2381172.0,21.6
1807-06-01,2381204.0,18.4
1807-07-01,2381234.0,15.9
1807-08-01,2381264.0,14.6
1807-09-01,2381296.0,13.4
1807-10-01,2381326.0,11.9
1807-11-01,2381356.0,11.3
1807-12-01,2381386.0,11.7
1808-01-01,2381418.0,11.4
1808-02-01,2381448.0,10.7
1808-03-01,2381478.0,10.8
1808-04-01,2381508.0,11.0
1808-05-01,2381538.0,11.3
1808-06-01,2381570.0,12.7
1808-07-01,2381600.0,14.1
1808-08-01,2381630.0,14.9
1808-09-01,2381662.0,15.3
1808-10-01,2381692.0,14.7
1808-11-01,2381722.0,13.2
1808-12-01,2381752.0,12.0
1809-01-01,2381784.0,11.1
1809-02-01,2381814.0,10.1
1809-03-01,2381842.0,8.8
1809-04-01,2381874.0,7.7
1809-05-01,2381904.0,6.7
1809-06-01,2381934.0,5.1
1809-07-01,2381964.0,3.7
1809-08-01,2381996.0,2.6
1809-09-01,2382026.0,1.9
1809-10-01,2382056.0,1.6
1809-11-01,2382088.0,1.3
1809-12-01,2382118.0,0.7
1810-01-01,2382148.0,0.1
1810-02-01,2382180.0,0.1
1810-03-01,2382208.0,0.0
1810-04-01,2382238.0,0.0
1810-05-01,2382268.0,0.0
1810-06-01,2382300.0,0.0
1810-07-01,2382330.0,0.0
1810-08-01,2382360.0,0.0
1810-09-01,2382392.0,0.0
1810-10-01,2382422.0,0.0
1810-11-01,2382452.0,0.0
1810-12-01,2382482.0,0.0
1811-01-01,2382514.0,0.5
1811-02-01,2382544.0,0.9
1811-03-01,2382572.0,1.1
1811-04-01,2382604.0,1.7
1811-05-01,2382634.0,2.2
1811-06-01,2382664.0,2.3
1811-07-01,2382694.0,3.1
1811-08-01,2382726.0,4.1
1811-09-01,2382756.0,4.2
1811-10-01,2382786.0,4.3
1811-11-01,2382818.0,4.4
1811-12-01,2382848.0,4.5
1812-01-01,2382878.0,4.2
1812-02-01,2382910.0,4.9
1812-03-01,2382938.0,6.1
1812-04-01,2382970.0,6.2
1812-05-01,2383000.0,6.5
1812-06-01,2383030.0,7.6
1812-07-01,2383060.0,7.5
1812-08-01,2383092.0,7.3
1812-09-01,2383122.0,7.9
1812-10-01,2383152.0,9.2
1812-11-01,2383184.0,10.6
1812-12-01,2383214.0,11.6
1813-01-01,2383244.0,13.6
1813-02-01,2383276.0,14.3
1813-03-01,2383304.0,14.5
1813-04-01,2383334.0,16.9
1813-05-01,2383364.0,19.1
1813-06-01,2383396.0,20.0
1813-07-01,2383426.0,21.9
1813-08-01,2383456.0,23.5
1813-09-01,2383488.0,23.9
1813-10-01,2383518.0,24.7
1813-11-01,2383548.0,25.2
1813-12-01,2383578.0,25.5
1814-01-01,2383610.0,25.7
1814-02-01,2383640.0,25.3
1814-03-01,2383668.0,24.4
1814-04-01,2383700.0,23.3
1814-05-01,2383730.0,22.6
1814-06-01,2383760.0,22.8
1814-07-01,2383790.0,23.0
1814-08-01,2383822.0,24.2
1814-09-01,2383852.0,27.0
1814-10-01,2383882.0,29.0
1814-11-01,2383914.0,29.8
1814-12-01,2383944.0,33.0
1815-01-01,2383974.0,37.0
1815-02-01,2384006.0,41.3
1815-03-01,2384034.0,46.0
1815-04-01,2384064.0,48.6
1815-05-01,2384094.0,51.2
1815-06-01,2384126.0,55.9
1815-07-01,2384156.0,59.5
1815-08-01,2384186.0,62.5
1815-09-01,2384218.0,68.4
1815-10-01,2384248.0,73.6
1815-11-01,2384278.0,77.8
1815-12-01,2384308.0,79.4
1816-01-01,2384340.0,78.8
1816-02-01,2384370.0,77.3
1816-03-01,2384400.0,76.8
1816-04-01,2384430.0,79.5
1816-05-01,2384460.0,81.2
1816-06-01,2384492.0,78.8
1816-07-01,2384522.0,77.1
1816-08-01,2384552.0,77.0
1816-09-01,2384584.0,77.8
1816-10-01,2384614.0,77.1
1816-11-01,2384644.0,73.3
1816-12-01,2384674.0,71.4
1817-01-01,2384706.0,71.9
1817-02-01,2384736.0,74.2
1817-03-01,2384764.0,75.0
1817-04-01,2384796.0,72.1
1817-05-01,2384826.0,69.3
1817-06-01,2384856.0,68.5
1817-07-01,2384886.0,68.3
1817-08-01,2384918.0,65.8
1817-09-01,2384948.0,58.4
1817-10-01,2384978.0,54.0
1817-11-01,2385010.0,56.8
1817-12-01,2385040.0,58.8
